feature,mean_abs_shap
expression__expr::IRF6 (3664),0.45148
expression__expr::CLDN1 (9076),0.41587248
expression__expr::LGALS1 (3956),0.41058287
expression__expr::CDH1 (999),0.3749515
expression__expr::LAD1 (3898),0.3204828
expression__expr::LSR (51599),0.2737988
copy_number__cn::GRB7 (2886),0.19938402
expression__expr::CDH3 (1001),0.17345713
copy_number__cn::MARCHF9 (92979),0.14325866
expression__expr::TMPRSS4 (56649),0.13338152
copy_number__cn::SSPN (8082),0.13031925
expression__expr::COL4A1 (1282),0.12658173
copy_number__cn::PNMT (5409),0.12657328
expression__expr::NRCAM (4897),0.12637478
copy_number__cn::OR4C11 (219429),0.11899181
copy_number__cn::OR52N5 (390075),0.117841735
expression__expr::SRGN (5552),0.117416374
copy_number__cn::OR4K2 (390431),0.113481246
expression__expr::TMEM98 (26022),0.09962368
expression__expr::JUP (3728),0.09532268
expression__expr::CSAG1 (158511),0.09333934
expression__expr::SNCA (6622),0.09013443
expression__expr::EMP3 (2014),0.080892205
expression__expr::EPCAM (4072),0.074052215
expression__expr::SFN (2810),0.06790092
expression__expr::IGFBP4 (3487),0.06690024
expression__expr::MAGEA12 (4111),0.062541686
expression__expr::SPINT1 (6692),0.055140134
copy_number__cn::STARD3 (10948),0.054740638
copy_number__cn::CYRIA (81553),0.05253567
expression__expr::ELF3 (1999),0.04893538
copy_number__cn::SLC1A2 (6506),0.047912385
expression__expr::VIM (7431),0.047212653
expression__expr::S100A6 (6277),0.04716157
expression__expr::KRT13 (3860),0.04411471
expression__expr::XAGE1A (653220),0.037760235
expression__expr::GPX2 (2877),0.03775579
expression__expr::IGFBP3 (3486),0.03733282
expression__expr::FGFBP1 (9982),0.037183903
expression__expr::LAMC2 (3918),0.036232386
expression__expr::MLPH (79083),0.032825015
expression__expr::MAL2 (114569),0.03203812
expression__expr::CYP24A1 (1591),0.029623294
copy_number__cn::UGT2B17 (7367),0.027803855
expression__expr::CDH2 (1000),0.02676746
expression__expr::TCIM (56892),0.026668418
copy_number__cn::TCAP (8557),0.026623981
expression__expr::PEG10 (23089),0.026447129
expression__expr::SPARC (6678),0.026420305
expression__expr::GPX3 (2878),0.026005233
copy_number__cn::OR4C6 (219432),0.025993316
expression__expr::DKK1 (22943),0.025453323
expression__expr::MT1E (4493),0.024928486
expression__expr::TNFAIP2 (7127),0.02243954
copy_number__cn::IRAG2 (4033),0.022038806
expression__expr::ERBB4 (2066),0.0216661
expression__expr::CLDN7 (1366),0.020696368
expression__expr::TFPI2 (7980),0.02032034
copy_number__cn::OR4S2 (219431),0.019364428
expression__expr::SLPI (6590),0.018184474
expression__expr::AKR1C2 (1646),0.017808357
expression__expr::FST (10468),0.017507317
copy_number__cn::OR4K1 (79544),0.017469907
copy_number__cn::SIGLEC14 (100049587),0.017073894
expression__expr::KRT18 (3875),0.01585338
expression__expr::IFI27 (3429),0.01575363
expression__expr::PTHLH (5744),0.015555469
expression__expr::CSTA (1475),0.015349969
expression__expr::MAGEA3 (4102),0.01533866
expression__expr::MMP14 (4323),0.015125484
expression__expr::ANXA8L1 (728113),0.014462187
expression__expr::RAB34 (83871),0.014421892
expression__expr::MIA (8190),0.014253448
copy_number__cn::MYCN (4613),0.01422342
expression__expr::SERPINA3 (12),0.01331654
expression__expr::NUPR1 (26471),0.013272605
copy_number__cn::CD44 (960),0.013169463
expression__expr::IFITM1 (8519),0.013083757
expression__expr::TUSC3 (7991),0.012845566
expression__expr::CRYAB (1410),0.012697669
expression__expr::THBS1 (7057),0.012572664
expression__expr::MMP7 (4316),0.012369484
expression__expr::IGFBP7 (3490),0.012221703
expression__expr::TACSTD2 (4070),0.012056926
expression__expr::TGM2 (7052),0.012011911
expression__expr::CRABP2 (1382),0.01191991
expression__expr::SPP1 (6696),0.011491855
expression__expr::MAGEA2 (4101),0.011096435
expression__expr::BRAF (673),0.011050709
copy_number__cn::FGFR1OP2 (26127),0.011008961
expression__expr::G0S2 (50486),0.010966167
expression__expr::EPS8L2 (64787),0.010743691
expression__expr::MFAP5 (8076),0.010686085
expression__expr::SERPINB2 (5055),0.010534084
copy_number__cn::DCUN1D5 (84259),0.010471547
expression__expr::KRT81 (3887),0.010410271
expression__expr::EEF1A2 (1917),0.0101207895
expression__expr::ADIRF (10974),0.009910973
expression__expr::MCAM (4162),0.009798927
expression__expr::ADGRF1 (266977),0.009267752
copy_number__cn::MMP8 (4317),0.008891287
expression__expr::IL1A (3552),0.008247068
expression__expr::SERPINE2 (5270),0.008155187
expression__expr::RAMP1 (10267),0.00804775
expression__expr::ANXA8 (653145),0.00798768
copy_number__cn::CTTN (2017),0.0077444133
expression__expr::SPOCK1 (6695),0.007736566
expression__expr::ESRP1 (54845),0.007601719
expression__expr::LYZ (4069),0.0075006993
expression__expr::WFDC2 (10406),0.0073867673
expression__expr::QPCT (25797),0.006913778
expression__expr::EHF (26298),0.0068220487
copy_number__cn::CCN4 (8840),0.006407036
copy_number__cn::ERBB4 (2066),0.0062555443
copy_number__cn::CFAP300 (85016),0.0062509817
copy_number__cn::MYC (4609),0.0059997267
copy_number__cn::ERBB2 (2064),0.0058508962
expression__expr::COL5A1 (1289),0.0050662616
expression__expr::AKR1B10 (57016),0.005048179
expression__expr::GAGE12F (100008586),0.004883398
copy_number__cn::ENSG00000260861,0.0045116106
expression__expr::TIMP3 (7078),0.0043263854
mutations__mut::damaging::PKHD1L1 (93035),0.0
mutations__mut::damaging::SETD2 (29072),0.0
mutations__mut::damaging::ARID1B (57492),0.0
mutations__mut::damaging::TRMT9B (57604),0.0
mutations__mut::damaging::RNF43 (54894),0.0
mutations__mut::damaging::RP1 (6101),0.0
mutations__mut::damaging::WNK2 (65268),0.0
mutations__mut::damaging::SYNE2 (23224),0.0
mutations__mut::hotspot::APC (324),0.0
mutations__mut::damaging::ZC3H13 (23091),0.0
mutations__mut::damaging::BRCA2 (675),0.0
mutations__mut::damaging::ARID2 (196528),0.0
mutations__mut::damaging::ANK3 (288),0.0
mutations__mut::damaging::SVIL (6840),0.0
mutations__mut::damaging::NOTCH1 (4851),0.0
mutations__mut::damaging::LRP1B (53353),0.0
mutations__mut::damaging::ZFHX3 (463),0.0
mutations__mut::damaging::MACF1 (23499),0.0
mutations__mut::damaging::PIK3R1 (5295),0.0
mutations__mut::hotspot::ERBB2 (2064),0.0
mutations__mut::damaging::PBRM1 (55193),0.0
mutations__mut::damaging::SYNE1 (23345),0.0
mutations__mut::hotspot::ERBB3 (2065),0.0
mutations__mut::damaging::KDM6A (7403),0.0
mutations__mut::damaging::MUC19 (283463),0.0
mutations__mut::damaging::MSH6 (2956),0.0
mutations__mut::damaging::PCLO (27445),0.0
mutations__mut::damaging::AXIN1 (8312),0.0
mutations__mut::hotspot::NRAS (4893),0.0
mutations__mut::damaging::BRAF (673),0.0
mutations__mut::damaging::SZT2 (23334),0.0
mutations__mut::damaging::BCOR (54880),0.0
mutations__mut::damaging::EGFR (1956),0.0
mutations__mut::damaging::KEAP1 (9817),0.0
mutations__mut::hotspot::ERBB4 (2066),0.0
mutations__mut::damaging::PIK3CA (5290),0.0
mutations__mut::damaging::ERBB4 (2066),0.0
mutations__mut::hotspot::SMAD4 (4089),0.0
mutations__mut::damaging::MSH3 (4437),0.0
mutations__mut::damaging::ERBB2 (2064),0.0
mutations__mut::damaging::ERBB3 (2065),0.0
mutations__mut::damaging::KRAS (3845),0.0
