candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.11631063784319093,0.1453053858286187,-0.04902108455142162,0.1623746133971422,0.11097092817184365
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.12215061809717974,0.15107136706608051,-0.13392704006123535,0.012953057983059759,-0.03254340202713591
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.11842097358015838,0.14645290016878645,-0.0656552920163147,0.03691108871162148,0.042702253135264136
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.12110417601665525,0.14908559499520768,-0.10431293500580496,0.01852389822379522,-0.016124774897957456
