candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.13619925859994336,0.17857795767823198,0.0970537828592174,0.3904471582012918,0.33791124804112016
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.1320728271653469,0.17533617994987322,0.1295391160120577,0.43146521408920346,0.3732212697650765
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.1307875337212514,0.172640110937896,0.15610271030537182,0.41826151272159073,0.40820282373277467
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.1319266534332082,0.17548194723941515,0.12809118362162764,0.42857915914546296,0.37311196906005506
