candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.1344589141801724,0.17524097035991032,0.19739799768839394,0.47799043062200963,0.44702378707550783
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.14265839004634207,0.18251734501189862,0.12936278773416165,0.4241968557758032,0.3885804975367942
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.1283848543238296,0.16968078281928742,0.24752121795339,0.5561175666438823,0.501304153622542
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.13020787528787153,0.17378761525089068,0.21065549901381642,0.5153110047846889,0.46354468452949693
