candidate,params,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier,auroc,auprc
0,{},0.75,0.75,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.5012804118276031,0.1700046012526821,0.8418367346938775,0.8567077505766139
1,"{'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 400, 'learning_rate': 0.03}",0.7857142857142857,0.7857142857142857,0.75,0.8571428571428571,0.8,0.5773502691896257,0.15458388395403008,0.8520408163265305,0.8540663701377986
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.75,0.75,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.5118906968889915,0.15977039720298883,0.8469387755102041,0.8658881535070168
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.7142857142857143,0.7142857142857143,0.6875,0.7857142857142857,0.7333333333333333,0.43301270189221935,0.15575275851655324,0.8520408163265305,0.8596658826700843
