candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.1484460182452259,0.20953063415558199,0.08443108478221262,0.37316017316017325,0.29396063116376253
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.14310943774706236,0.20460750309281614,0.1269500423031804,0.3867965367965369,0.3572965818330487
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.14807245941632644,0.20891607945308463,0.08979394765267423,0.3231601731601732,0.30020044354058245
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.1462191795353159,0.20683810270769537,0.10781056663797095,0.34372294372294376,0.3293845751488619
