candidate,params,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier,auroc,auprc
0,{},0.7241379310344828,0.7261904761904762,0.6875,0.7857142857142857,0.7333333333333333,0.4545506576458782,0.19737218351571723,0.838095238095238,0.8970238095238094
1,"{'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 400, 'learning_rate': 0.03}",0.7241379310344828,0.7261904761904762,0.6875,0.7857142857142857,0.7333333333333333,0.4545506576458782,0.19397346484184197,0.8142857142857142,0.8801126160926522
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.6896551724137931,0.6928571428571428,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.3913454490654027,0.20456216049691692,0.8238095238095239,0.8871465609837401
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.7586206896551724,0.7595238095238095,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.5190476190476191,0.17708436538758063,0.7999999999999999,0.842370220283754
