candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.10113228551872633,0.12681901797720424,-0.16506309000762287,-0.008827404479578391,0.06421774769173222
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.10990262985665927,0.13753592700331366,-0.3702915823196513,-0.1823451910408432,-0.0571260295170869
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.10204809316977216,0.1288706212753961,-0.20306340450400917,-0.04637681159420289,0.044808514746204
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.10954178239453191,0.13603484314153835,-0.34054375027440664,-0.16996047430830039,-0.10784821597015037
