candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.08308806746495784,0.10717495874362004,0.48486869577470715,0.6947984036074999,0.7103178602594934
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.08289576635531144,0.10528449781296652,0.5028812402097865,0.6838274531450319,0.7138419283609552
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.07869341134926085,0.10590322642479967,0.49702120585252496,0.7060681737323696,0.7162689482929041
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.08071311070880724,0.10593833098990746,0.4966876980105057,0.7020127640283446,0.7157744699194576
