candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.17138089003741763,0.2171397049436899,0.08451253167826234,0.14822404425613653,0.31323854866358725
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.16633879688589134,0.21526360765129102,0.10026389997177965,0.20107582040506997,0.33170383917186624
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.16387421113645415,0.21439013780357993,0.1075507601595117,0.18826844330920564,0.33956100682281887
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.17124705025302195,0.22056157828728085,0.05543110772927662,0.11910860699153826,0.27276148534525335
