candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.14065054882941266,0.20881053484493511,-0.06150312080566911,-0.014666558625719148,-0.02024742283480035
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.1382047043049809,0.20625878946884013,-0.03571768723367774,0.00559111903411393,0.0332649830420347
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.1369249344292586,0.2105567980306,-0.07933186524368807,-0.02730734948545499,-0.07555906638586636
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.14030927400483456,0.20855496583023467,-0.05890630461676016,-0.035410420549388213,-0.0010518578209269547
