candidate,params,mae,rmse,r2,spearman,pearson
0,{},0.12391906848812108,0.15825614520597753,0.25219433432409355,0.4976616674729882,0.5168218466046336
1,"{'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 400, 'learning_rate': 0.03}",0.1213418006995119,0.1555597708597407,0.27745953418257574,0.5419287211740041,0.5312643406705304
2,"{'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 260, 'learning_rate': 0.04}",0.12230214257721704,0.15668795312907113,0.26694122005828935,0.5124979841960974,0.5226160376744687
3,"{'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 350, 'learning_rate': 0.03, 'reg_lambda': 2.0, 'colsample_bytree': 0.65}",0.12431146911996509,0.15877032104513852,0.24732718387939456,0.4918561522335107,0.50383835573128
