drug,n_models,n_tail_models,auroc,auroc_ci_lower,auroc_ci_upper
trametinib,507,254,0.9073718147436294,0.8705117183689397,0.941506846550918
afatinib,506,254,0.6824353648707296,0.611145111689816,0.735247119407152
palbociclib,508,254,0.7033294066588134,0.6380971225295674,0.7629170858484239
olaparib,507,254,0.6573873147746295,0.594030064067364,0.7221077206812399
gemcitabine,506,254,0.6536053072106144,0.587740917003074,0.7229023149010115
