drug,n_models,n_features,regression_spearman,regression_r2,classification_auroc,classification_auroc_ci_lower,classification_auroc_ci_upper,classification_accuracy,classification_balanced_accuracy,classification_auprc,brier,interval_coverage,elastic_net_auroc,lineage_auroc,elastic_net_spearman,lineage_spearman
trametinib,375,574,0.45538072634845694,0.19706036813132344,0.7952380952380953,0.590297619047619,0.9567410714285715,0.7931034482758621,0.7904761904761906,0.8601550579746067,0.20377864545238691,0.9473684210526315,0.8238095238095238,0.919047619047619,0.4680851064444355,0.6060380823465262
afatinib,368,578,0.612987012987013,0.3056764455098163,0.9591836734693878,0.8717914438502674,1.0,0.8571428571428571,0.8571428571428571,0.9588976499690784,0.15236542591023516,0.9642857142857143,0.9693877551020409,0.8954081632653061,0.5881066302118935,0.5889648727847345
palbociclib,370,573,0.3709109608094982,0.015449606801248184,0.7579365079365079,0.5665873015873015,0.9069377990430622,0.53125,0.5833333333333334,0.7113639336853623,0.22168484547184972,0.8214285714285714,0.7182539682539683,0.5615079365079365,0.4397197124553852,0.1755124945276972
olaparib,374,580,0.09962406015037595,-0.13631484948864325,0.5809523809523809,0.3499404761904762,0.794205182072829,0.5862068965517241,0.5761904761904761,0.6592314002482133,0.24413601174006241,0.9122807017543859,0.6571428571428571,0.44047619047619047,0.22511018926626913,-0.12701271121949284
gemcitabine,298,574,0.41436100131752307,0.14541922234903704,0.6515151515151515,0.40151515151515155,0.8637762237762237,0.5652173913043478,0.5606060606060606,0.691652901192375,0.2479482266355401,0.9555555555555556,0.5757575757575757,0.7196969696969697,0.1295125164690382,0.17084614140263069
