ablation,n_features,regression_mae,regression_rmse,regression_r2,regression_spearman,regression_pearson,classification_accuracy,classification_balanced_accuracy,classification_precision,classification_recall,classification_f1,classification_mcc,classification_brier,classification_auroc,classification_auprc
lineage_only,1.0,0.1196431766991516,0.15571120959809245,0.16742025733989108,0.5195915276853875,0.4314231196032077,0.5384615384615384,0.5654761904761905,0.5,0.9166666666666666,0.6470588235294118,0.18093671611393647,0.22721836225838155,0.6309523809523809,0.5801282051282052
expression_only,309.0,0.11505670182818076,0.13783828708670212,0.3475821749215029,0.5613170858179933,0.593856549213083,0.8846153846153846,0.8928571428571428,0.8,1.0,0.8888888888888888,0.7928249671720919,0.09162076072458862,0.9761904761904763,0.9735750360750361
expression_plus_lineage,310.0,0.11166885698726538,0.13371281628885615,0.3860511992998137,0.6117448794399793,0.6307107857983413,0.8461538461538461,0.8511904761904762,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7023809523809523,0.09505683363390843,0.9642857142857143,0.9654761904761906
mutation_plus_copy_number,264.0,0.1326131749095929,0.1677648674206463,0.033530575585755895,0.32894736842105265,0.30695772212557587,0.5769230769230769,0.5714285714285714,0.5454545454545454,0.5,0.5217391304347826,0.14414999403128945,0.2742532568715812,0.5952380952380951,0.5887063740446599
all_modalities,574.0,0.11853737373114485,0.13974390074149054,0.3294181314057971,0.5587892144153488,0.5842786550918017,0.8846153846153846,0.8928571428571428,0.8,1.0,0.8888888888888888,0.7928249671720919,0.09817011684127654,0.9702380952380952,0.9705128205128206
all_without_lineage,573.0,0.1153169273326558,0.1369376879840472,0.3560797762252653,0.6117448794399793,0.6045064767010606,0.8846153846153846,0.8928571428571428,0.8,1.0,0.8888888888888888,0.7928249671720919,0.09715381081609233,0.9821428571428572,0.9811507936507937
