ablation,n_features,regression_mae,regression_rmse,regression_r2,regression_spearman,regression_pearson,classification_accuracy,classification_balanced_accuracy,classification_precision,classification_recall,classification_f1,classification_mcc,classification_brier,classification_auroc,classification_auprc
lineage_only,1.0,0.1127935538396377,0.1422623135477338,0.005905330584738522,0.07144291635921746,0.10583330580114467,0.52,0.474025974025974,0.3333333333333333,0.09090909090909091,0.14285714285714285,-0.07935196008581541,0.25326227654188493,0.474025974025974,0.4303030303030303
expression_only,310.0,0.12129244357608276,0.15340201314149818,-0.1558730254922711,0.0031760435571687846,-0.03785657403658057,0.32,0.31493506493506496,0.25,0.2727272727272727,0.2608695652173913,-0.36774958904091276,0.3492187381968553,0.33116883116883117,0.3696953187538608
expression_plus_lineage,311.0,0.11723209883821002,0.14864196482012754,-0.08525272624555269,0.06261343012704175,0.03744579349748101,0.28,0.2792207792207792,0.23076923076923078,0.2727272727272727,0.25,-0.4387188079786328,0.3432899254447429,0.3246753246753247,0.4223728113835066
mutation_plus_copy_number,270.0,0.122177578876821,0.1578369462764432,-0.22367292368635283,0.016204303863106045,-0.03762839020453364,0.64,0.6493506493506493,0.5714285714285714,0.7272727272727273,0.64,0.2987012987012987,0.23718443376264425,0.6363636363636364,0.6182171317127693
all_modalities,581.0,0.12217117017235213,0.15458935497735368,-0.17383534123021316,-0.028714026445423906,-0.07292616991140788,0.44,0.4318181818181818,0.36363636363636365,0.36363636363636365,0.36363636363636365,-0.13636363636363635,0.3311301822349726,0.37012987012987014,0.39645018799012977
all_without_lineage,580.0,0.12522013798336065,0.15475149718132683,-0.17629900456540404,-0.05950220378532539,-0.04988625447322308,0.24,0.22402597402597402,0.1,0.09090909090909091,0.09523809523809523,-0.5592589407158036,0.3581203584848121,0.24025974025974028,0.3557759335458218
