model_id,lineage,predicted_auc,interval_lower,interval_upper,sensitivity_probability,sensitive_auc_max,resistant_auc_min,technical_eligibility,true_auc
ACH-000661,skin,0.4964742362499237,0.2338184315713696,0.7591300409284778,0.6910067595319509,0.6391224711600416,0.9112638657586372,False,0.5677252040556378
ACH-000968,skin,0.5173453092575073,0.2546895045789533,0.7800011139360614,0.6990622878816193,0.6391224711600416,0.9112638657586372,False,0.7429844372046979
ACH-000881,skin,0.5308050513267517,0.2397376558916923,0.821872446761811,0.6706383899153858,0.6418011611733068,0.9131505213787036,False,0.5879770463105793
ACH-000477,skin,0.5345881581306458,0.2719323534520917,0.7972439628091998,0.6914447049811638,0.6391224711600416,0.9112638657586372,False,0.3873792306224038
ACH-000788,skin,0.5374900698661804,0.2467267177241203,0.8282534220082405,0.6754869767607165,0.645707916853427,0.9131459773317938,False,0.858083141190254
ACH-000401,skin,0.559315025806427,0.2685516736643669,0.8500783779484871,0.6801938731099961,0.645707916853427,0.9131459773317938,False,0.4260878256660677
ACH-000976,biliary tract,0.5751578211784363,0.2843944690363762,0.8659211733204963,0.6899586970124243,0.645707916853427,0.9131459773317938,False,0.4670583032724829
ACH-000614,skin,0.5771722197532654,0.3268292592923891,0.8275151802141416,0.6999518867904424,0.6407189412099842,0.9136803828101596,False,0.5162010054237284
ACH-000810,skin,0.5800702571868896,0.2893069050448296,0.8708336093289497,0.7035376248640179,0.645707916853427,0.9131459773317938,False,0.4317021047487748
ACH-000572,skin,0.5807349681854248,0.3180791635068707,0.8433907728639789,0.6678385861355416,0.6391224711600416,0.9112638657586372,False,0.892881124829377
