drug,family,probability_margin,coverage,n_selected,n_selected_extremes,tail_error,intermediate_fraction,policy
palbociclib,lineage,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
palbociclib,lineage,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
palbociclib,xgboost,0.0,1.0,370,193,0.3626943005181347,0.4783783783783784,probability-only diagnostic; does not implement API acceptance
palbociclib,xgboost,0.1,0.10810810810810811,40,23,0.2608695652173913,0.425,probability-only diagnostic; does not implement API acceptance
palbociclib,xgboost,0.2,0.005405405405405406,2,2,0.0,0.0,probability-only diagnostic; does not implement API acceptance
palbociclib,xgboost,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
palbociclib,xgboost,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,elastic_net,0.0,1.0,375,190,0.20526315789473684,0.49333333333333335,probability-only diagnostic; does not implement API acceptance
trametinib,elastic_net,0.1,0.816,306,160,0.15,0.477124183006536,probability-only diagnostic; does not implement API acceptance
trametinib,elastic_net,0.2,0.5226666666666666,196,113,0.11504424778761062,0.42346938775510207,probability-only diagnostic; does not implement API acceptance
trametinib,elastic_net,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,elastic_net,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,lineage,0.0,1.0,375,190,0.24210526315789474,0.49333333333333335,probability-only diagnostic; does not implement API acceptance
trametinib,lineage,0.1,0.22666666666666666,85,50,0.3,0.4117647058823529,probability-only diagnostic; does not implement API acceptance
trametinib,lineage,0.2,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,lineage,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,lineage,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,xgboost,0.0,1.0,375,190,0.23157894736842105,0.49333333333333335,probability-only diagnostic; does not implement API acceptance
trametinib,xgboost,0.1,0.592,222,121,0.12396694214876033,0.45495495495495497,probability-only diagnostic; does not implement API acceptance
trametinib,xgboost,0.2,0.04,15,11,0.0,0.26666666666666666,probability-only diagnostic; does not implement API acceptance
trametinib,xgboost,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
trametinib,xgboost,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
