drug,family,fold,n_candidates,radius_90,sensitive_max,resistant_min,class_band_width,prediction_min,prediction_max,maximum_supportable_radius,first_support_radius_scale,n_interval_support_90,n_technical_support_90,n_margin_pass,nominal_coverage_at_first_support,coverage_status
afatinib,elastic_net,1,74,0.22868121110471512,0.75385492846428,0.932671216496534,0.1788162880322539,0.6205670824358867,0.97796327330568,0.1332878460283934,0.5828543822402609,0,0,57,,Unavailable: original fold calibration residuals were not saved
afatinib,elastic_net,2,74,0.2091826740910323,0.7538210655172494,0.9324176642190404,0.178596598701791,0.6235884096450719,1.0059834617244678,0.13023265587217747,0.6225785975730606,0,0,64,,Unavailable: original fold calibration residuals were not saved
afatinib,elastic_net,3,74,0.1894558523343896,0.7538210655172494,0.9324176642190404,0.178596598701791,0.6593388451985284,0.9921527041499388,0.094482220318721,0.4987030970780456,0,0,69,,Unavailable: original fold calibration residuals were not saved
afatinib,elastic_net,4,73,0.15431901505676748,0.752751049506348,0.9334075356033388,0.1806564860969908,0.6666956608780708,0.985283670427455,0.08605538862827722,0.5576460463839862,0,0,68,,Unavailable: original fold calibration residuals were not saved
afatinib,elastic_net,5,73,0.23780675322909683,0.754188920825374,0.9326692482329378,0.1784803274075638,0.6656623780466611,0.9590217342014044,0.08852654277871297,0.37226252651214153,0,0,66,,Unavailable: original fold calibration residuals were not saved
afatinib,lineage,1,74,0.2593262512085008,0.75385492846428,0.932671216496534,0.1788162880322539,0.7198954712535739,1.0151329254807686,0.0004886280090004025,0.0018842211566446512,0,0,3,,Unavailable: original fold calibration residuals were not saved
afatinib,lineage,2,74,0.24245550449506498,0.7538210655172494,0.9324176642190404,0.178596598701791,0.7190457216007646,0.994811254364572,0.023803899086141223,0.09817842302947481,0,0,4,,Unavailable: original fold calibration residuals were not saved
afatinib,lineage,3,74,0.20973830215387085,0.7538210655172494,0.9324176642190404,0.178596598701791,0.7165848256124399,1.002016828685398,0.03672669106629545,0.17510722023177025,0,0,9,,Unavailable: original fold calibration residuals were not saved
afatinib,lineage,4,73,0.18963235745606832,0.752751049506348,0.9334075356033388,0.1806564860969908,0.7097640191826147,0.9526110766651186,0.0429870303237333,0.22668615683740578,0,0,3,,Unavailable: original fold calibration residuals were not saved
afatinib,lineage,5,73,0.27541160983691726,0.754188920825374,0.9326692482329378,0.1784803274075638,0.7179458899708976,0.9515288002624918,0.018859552029553917,0.06847769431623252,0,0,9,,Unavailable: original fold calibration residuals were not saved
afatinib,xgboost,1,74,0.24336857477110213,0.75385492846428,0.932671216496534,0.1788162880322539,0.6735612750053406,0.9872819185256958,0.08029365345893946,0.32992613583926733,0,0,58,,Unavailable: original fold calibration residuals were not saved
afatinib,xgboost,2,74,0.20091993265903607,0.7538210655172494,0.9324176642190404,0.178596598701791,0.6859095692634583,1.003711462020874,0.07129379780183365,0.35483685893335537,0,0,62,,Unavailable: original fold calibration residuals were not saved
afatinib,xgboost,3,74,0.18301649114665697,0.7538210655172494,0.9324176642190404,0.178596598701791,0.6813355088233948,0.9907560348510742,0.07248555669385459,0.3960602470286112,0,0,65,,Unavailable: original fold calibration residuals were not saved
afatinib,xgboost,4,73,0.1768074595144763,0.752751049506348,0.9334075356033388,0.1806564860969908,0.6107017397880554,0.9827319979667664,0.14204930971829255,0.8034124245004612,0,0,60,,Unavailable: original fold calibration residuals were not saved
afatinib,xgboost,5,73,0.25542848703404136,0.754188920825374,0.9326692482329378,0.1784803274075638,0.6534984707832336,0.9590860605239868,0.10069045004214039,0.3942021158694064,0,0,67,,Unavailable: original fold calibration residuals were not saved
gemcitabine,elastic_net,1,60,0.21951890488525766,0.1357478467060797,0.314428874853682,0.17868102814760228,0.1497170136638569,0.3616260872706153,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,elastic_net,2,60,0.25625783881577796,0.135663416378636,0.314428874853682,0.178765458475046,0.0770159708155559,0.3794944521067326,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,elastic_net,3,60,0.217501176763216,0.1367333718566325,0.3138051617554712,0.17707178989883868,0.1693789841232791,0.3370586423402263,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,elastic_net,4,59,0.24267348280657333,0.135823398906874,0.313881841575081,0.17805844266820697,0.1429056508538256,0.3398911652745431,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,elastic_net,5,59,0.24255608065779014,0.1326102911096465,0.3179007091135025,0.18529041800385598,0.1207169797557509,0.3317221042351773,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,lineage,1,60,0.2027387042777443,0.1357478467060797,0.314428874853682,0.17868102814760228,0.1602026589732582,0.4375656857575734,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,lineage,2,60,0.23993928041965162,0.135663416378636,0.314428874853682,0.178765458475046,0.1734570014075268,0.3242119821874364,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,lineage,3,60,0.18578061595171355,0.1367333718566325,0.3138051617554712,0.17707178989883868,0.1774412551236006,0.4922267738098066,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,lineage,4,59,0.21279480860156905,0.135823398906874,0.313881841575081,0.17805844266820697,0.1703324177425275,0.3358098080847556,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,lineage,5,59,0.23267627343843011,0.1326102911096465,0.3179007091135025,0.18529041800385598,0.1602652667032825,0.3549853273575167,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,xgboost,1,60,0.21462295452363506,0.1357478467060797,0.314428874853682,0.17868102814760228,0.1488372981548309,0.3759080469608307,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,xgboost,2,60,0.24378425415944097,0.135663416378636,0.314428874853682,0.178765458475046,0.1504101157188415,0.341151088476181,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,xgboost,3,60,0.18764292696009885,0.1367333718566325,0.3138051617554712,0.17707178989883868,0.1626492887735366,0.4399052858352661,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,xgboost,4,59,0.23276122905126928,0.135823398906874,0.313881841575081,0.17805844266820697,0.1591137051582336,0.3343878090381622,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
gemcitabine,xgboost,5,59,0.25777829508565986,0.1326102911096465,0.3179007091135025,0.18529041800385598,0.141240119934082,0.341222733259201,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,elastic_net,1,75,0.23478672530163136,0.9020287229905802,1.0926271479268532,0.190598424936273,0.8376550414573014,1.063485332511696,,,0,0,18,,Unavailable: original fold calibration residuals were not saved
olaparib,elastic_net,2,75,0.2160649741290342,0.9020287229905802,1.092208924324534,0.19018020133395386,0.928133428261342,1.0844789865481856,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,elastic_net,3,75,0.19454839735290258,0.9016941659010604,1.093849645110638,0.19215547920957765,0.90113816601185,1.0763152220626913,,,0,0,15,,Unavailable: original fold calibration residuals were not saved
olaparib,elastic_net,4,75,0.2026614016744458,0.9052796318103152,1.093849645110638,0.18857001330032286,0.9216811950214936,1.1424235020125182,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,elastic_net,5,74,0.21397830421587222,0.8995043215461892,1.0941943221188504,0.19469000057266117,0.906989340348878,1.079155166040594,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,lineage,1,75,0.2276866316210815,0.9020287229905802,1.0926271479268532,0.190598424936273,0.9156880684600044,1.0907366242077077,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,lineage,2,75,0.21196572489520443,0.9020287229905802,1.092208924324534,0.19018020133395386,0.8588428225453566,1.0668681134557116,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,lineage,3,75,0.23595552611292558,0.9016941659010604,1.093849645110638,0.19215547920957765,0.892399474410243,1.077294284846943,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,lineage,4,75,0.20779666763030274,0.9052796318103152,1.093849645110638,0.18857001330032286,0.9153295288348834,1.0528538863177903,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,lineage,5,74,0.2402450399888753,0.8995043215461892,1.0941943221188504,0.19469000057266117,0.8960223026788321,1.1061792409481692,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,xgboost,1,75,0.23775202260082695,0.9020287229905802,1.0926271479268532,0.190598424936273,0.8458753228187561,1.09014093875885,,,0,0,1,,Unavailable: original fold calibration residuals were not saved
olaparib,xgboost,2,75,0.21507650672969314,0.9020287229905802,1.092208924324534,0.19018020133395386,0.916595220565796,1.1125119924545288,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,xgboost,3,75,0.1991422063118073,0.9016941659010604,1.093849645110638,0.19215547920957765,0.859731912612915,1.1110960245132446,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,xgboost,4,75,0.20377016736060494,0.9052796318103152,1.093849645110638,0.18857001330032286,0.9078231453895568,1.1355655193328855,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
olaparib,xgboost,5,74,0.24034183085022892,0.8995043215461892,1.0941943221188504,0.19469000057266117,0.8879591822624207,1.1442512273788452,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
palbociclib,elastic_net,1,74,0.30706840726465573,0.8476627647957431,1.0,0.1523372352042569,0.740868411211963,1.2827870959365235,0.2827870959365235,0.9209254004850957,0,0,36,,Unavailable: original fold calibration residuals were not saved
palbociclib,elastic_net,2,74,0.33405574814315875,0.8476627647957431,1.0,0.1523372352042569,0.746947225568817,1.2066177174219763,0.20661771742197632,0.6185126840967599,0,0,29,,Unavailable: original fold calibration residuals were not saved
palbociclib,elastic_net,3,74,0.3044618926207082,0.8478017657625909,1.0,0.15219823423740908,0.7910211413287096,1.4141802554146974,0.4141802554146974,1.360368129651857,1,1,58,,Unavailable: original fold calibration residuals were not saved
palbociclib,elastic_net,4,74,0.33745293794817144,0.8437704078594008,1.0,0.15622959214059917,0.8010570650323527,1.226051561456165,0.2260515614561649,0.6698758138857386,0,0,47,,Unavailable: original fold calibration residuals were not saved
palbociclib,elastic_net,5,74,0.28823925924123295,0.8469348068101752,1.0084826866631225,0.16154787985294727,0.7514895340552716,1.1610139652090168,0.09544527275490355,0.33113210534247045,0,0,26,,Unavailable: original fold calibration residuals were not saved
