model_id,lineage,predicted_auc,interval_lower,interval_upper,sensitivity_probability,sensitive_auc_max,resistant_auc_min,technical_eligibility,true_auc
ACH-000477,skin,0.5373608874151996,0.235715571823274,0.8390062030071251,0.6029563435809092,0.6391224711600416,0.9112638657586372,False,0.3873792306224038
ACH-000572,skin,0.5373608874151996,0.235715571823274,0.8390062030071251,0.6029563435809092,0.6391224711600416,0.9112638657586372,False,0.892881124829377
ACH-000582,skin,0.5373608874151996,0.235715571823274,0.8390062030071251,0.6029563435809092,0.6391224711600416,0.9112638657586372,False,0.8196305989816695
ACH-000661,skin,0.5373608874151996,0.235715571823274,0.8390062030071251,0.6029563435809092,0.6391224711600416,0.9112638657586372,False,0.5677252040556378
ACH-000827,skin,0.5373608874151996,0.235715571823274,0.8390062030071251,0.6029563435809092,0.6391224711600416,0.9112638657586372,False,0.8072576681562683
ACH-000968,skin,0.5373608874151996,0.235715571823274,0.8390062030071251,0.6029563435809092,0.6391224711600416,0.9112638657586372,False,0.7429844372046979
ACH-000401,skin,0.5668080052604155,0.2643495458348746,0.8692664646859565,0.6320453082185719,0.645707916853427,0.9131459773317938,False,0.4260878256660677
ACH-000441,skin,0.5668080052604155,0.2643495458348746,0.8692664646859565,0.6320453082185719,0.645707916853427,0.9131459773317938,False,0.4098946072631235
ACH-000788,skin,0.5668080052604155,0.2643495458348746,0.8692664646859565,0.6320453082185719,0.645707916853427,0.9131459773317938,False,0.858083141190254
ACH-000810,skin,0.5668080052604155,0.2643495458348746,0.8692664646859565,0.6320453082185719,0.645707916853427,0.9131459773317938,False,0.4317021047487748
