drug,n_overlap,n_tail_models,spearman,ood_fraction,external_sensitive_auc_max,external_resistant_auc_min,tail_accuracy,tail_balanced_accuracy,tail_precision,tail_recall,tail_f1,tail_mcc,tail_brier,tail_auroc,tail_auprc
afatinib,43.0,22.0,0.4880700694654183,0.023255813953488372,0.8006665,0.8956584999999999,0.8181818181818182,0.8181818181818181,0.8888888888888888,0.7272727272727273,0.8,0.647150228929434,0.1907987459853221,0.859504132231405,0.8847678769927574
gemcitabine,33.0,18.0,0.4792780748663102,0.0,0.599723,0.859332,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,-0.4472135954999579,0.2512468986517287,0.3209876543209877,0.4191031735149382
olaparib,46.0,24.0,0.2789392537773666,0.0,0.9448435000000001,0.9633295,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.24676185084572624,0.6805555555555556,0.7476186939422234
palbociclib,41.0,22.0,0.2165505226480837,0.0,0.917824,0.960614,0.5909090909090909,0.5909090909090908,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.18257418583505536,0.23087740095638531,0.6694214876033058,0.611588188994606
trametinib,39.0,20.0,0.49878542510121454,0.0,0.7677345,0.910892,0.75,0.75,0.7272727272727273,0.8,0.7619047619047619,0.502518907629606,0.18560203561331212,0.8200000000000001,0.8870129870129869
