drug,family,radius_scale,n_technical_support,n_candidates,selection_fraction,interpretation
afatinib,xgboost,0.45,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.5,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.55,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.6000000000000001,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.65,2,368,0.005434782608695652,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.7000000000000001,2,368,0.005434782608695652,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.75,1,368,0.002717391304347826,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.8,1,368,0.002717391304347826,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.8500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.9,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.9500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,1.0,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.0,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.05,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.1,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.15000000000000002,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.2,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.25,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.30000000000000004,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.35000000000000003,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.4,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.45,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.5,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.55,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.6000000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.65,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.7000000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.75,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.8,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.8500000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.9,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.9500000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,1.0,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.0,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.05,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.1,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.15000000000000002,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.2,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.25,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.30000000000000004,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.35000000000000003,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.4,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.45,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.5,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.55,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.6000000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.65,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.7000000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.75,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.8,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.8500000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.9,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,0.9500000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,lineage,1.0,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.0,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.05,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.1,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.15000000000000002,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.2,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.25,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.30000000000000004,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.35000000000000003,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.4,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.45,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.5,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,xgboost,0.55,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
