drug,validation_status,oof_auroc,strict_gdsc2_auroc,recommendation
trametinib,validated_demo,0.8608062709966405,0.84,Recommended as the main portfolio demonstration.
afatinib,validated_demo,0.9165780456103036,0.8264462809917356,Recommended as the main portfolio demonstration.
palbociclib,exploratory,0.7502596053997924,0.5123966942148761,"Useful research signal, but transfer is not sufficiently stable for the main claim."
olaparib,insufficient_evidence,0.5404640633842671,0.6805555555555556,Included as a documented negative/weak result; do not use as a reliable predictor.
gemcitabine,insufficient_evidence,0.4817777777777778,0.7037037037037037,Included as a documented negative/weak result; do not use as a reliable predictor.
